	BrM1	BrM2	BrM3	BrM4	BrM5	BrM6	BrM7	BrM8	BrM9	BrM10	LT1	LT2	LT3	LT4	LT5	LT6	LT7	LT8	LT9	LT10
ZNF57555	1	11	10	4	3	25	18	3	24	20	67	49	8	13	72	41	74	19	2	41
GPR73623	51	20	51	9	32	41	50	44	34	71	65	283	140	63	278	353	89	192	104	231
HLA8361	4	0	1	0	3	2	4	4	2	5	2	11	3	6	12	13	6	2	23	8
CXCL62754	14	13	2	4	22	3	42	2	2	13	191	15	21	19	54	49	57	170	44	72
CD66010	56	28	54	47	44	28	14	56	22	14	100	427	103	249	129	104	198	152	353	275
HLA23622	4	44	43	21	29	28	37	82	21	8	74	355	53	89	295	441	282	201	167	127
HLA89533	7	7	7	2	2	4	4	6	1	26	76	39	62	33	25	28	13	8	24	55
TP89099	20	17	16	0	34	22	10	29	35	31	66	91	140	67	52	105	163	67	44	82
MT53256	23	13	16	33	15	54	12	51	50	26	106	11	32	87	30	26	139	94	136	198
GPR55540	3	0	5	2	15	10	2	1	10	17	45	96	83	49	9	38	48	14	14	9
SLC64213	53	85	15	22	9	56	45	41	30	21	135	146	54	122	180	207	122	99	47	179
EGFR35136	16	31	39	18	15	18	67	34	79	37	56	51	82	139	102	104	156	71	270	324
TNF11200	0	11	22	14	3	17	8	9	11	24	22	56	29	94	56	20	19	82	94	73
MAPK52831	12	5	3	14	8	4	11	14	1	3	46	71	12	35	7	43	34	20	24	15
MYC73119	3	4	2	5	3	1	1	4	1	9	4	8	3	9	0	6	10	2	6	6
TNF59323	1	31	11	15	10	7	17	8	13	5	15	11	33	36	39	59	32	40	38	25
IL13811	6	7	9	3	2	7	5	12	3	3	27	80	28	14	48	3	20	11	35	10
TNF25075	8	23	13	46	6	11	76	64	14	22	80	123	285	71	34	307	45	181	120	168
CXCL98253	17	8	8	15	6	10	3	24	0	25	55	32	13	32	47	70	33	26	25	27
TNF49294	5	16	28	5	12	6	1	16	14	12	52	84	57	52	137	92	34	39	101	45
BRCA88464	10	5	14	6	14	36	13	6	4	10	21	39	36	38	10	59	54	29	20	22
MAPK88558	34	56	33	36	28	44	22	35	33	4	354	79	54	133	64	78	147	107	39	143
SLC89471	0	4	5	2	1	2	1	0	4	2	9	17	7	7	11	15	24	4	13	6
HLA32175	4	24	2	22	24	26	3	5	6	9	35	57	59	53	27	80	20	51	22	17
MT67771	3	3	2	6	14	15	8	13	5	3	63	8	39	25	15	4	25	23	19	17
ZNF11626	4	1	16	2	1	7	5	16	0	17	24	12	24	27	34	32	11	51	15	42
GPR94032	17	57	39	5	8	6	44	17	19	24	161	47	109	53	45	9	155	142	73	203
TNF57417	3	3	1	2	2	1	5	2	1	6	4	14	10	14	6	15	1	6	19	4
ZNF3820	215	42	41	37	103	105	112	40	43	80	274	191	248	511	131	227	417	494	277	56
TNF34784	4	3	4	5	1	1	0	1	1	3	9	4	4	1	0	13	1	9	3	3
IL63536	11	6	9	11	7	0	5	10	10	9	34	28	24	38	35	23	8	8	7	79
EGFR88197	1	8	15	6	1	6	5	5	11	11	15	10	27	12	31	8	42	23	16	29
CD71304	16	13	3	0	0	2	9	8	8	15	11	69	7	19	20	43	38	15	80	25
EGFR6258	0	9	15	12	9	5	1	6	7	4	27	31	31	13	49	32	16	17	38	74
CD83765	4	1	2	1	7	1	0	6	1	7	11	6	28	13	11	5	25	26	3	6
HLA17828	54	15	64	60	60	50	22	21	35	38	109	59	152	156	130	75	212	163	92	249
TP24386	14	2	15	11	16	11	12	32	11	8	50	133	62	221	106	54	54	59	31	43
EGFR63368	24	7	9	14	16	20	9	35	18	9	20	50	105	81	48	62	39	88	39	125
HLA24397	1	2	3	2	10	2	0	2	3	1	11	16	13	6	20	30	49	10	15	31
CXCL17470	31	34	40	23	8	19	14	8	14	23	52	103	134	124	18	59	31	82	99	71
MT96940	6	0	3	1	0	10	3	1	5	0	18	8	23	3	19	19	24	6	8	11
MYC14737	5	7	4	8	8	9	6	8	7	4	49	35	52	38	13	20	37	20	13	37
CXCL67346	3	1	6	6	3	3	0	1	2	3	28	24	45	15	3	4	20	24	26	18
MYC15805	5	9	14	13	17	13	1	5	4	8	31	40	26	4	23	57	30	19	12	54
CD75330	15	9	10	10	3	2	17	35	13	14	96	23	74	127	73	179	55	177	14	54
EGFR9805	1	0	3	0	3	0	7	1	1	4	20	7	0	1	3	13	2	9	13	8
MAPK66869	7	3	17	4	1	7	2	11	14	12	18	11	36	59	35	10	61	22	16	59
ZNF56250	3	2	6	5	0	2	2	5	8	5	11	20	4	18	27	39	3	27	25	9
TP67941	7	16	4	3	11	6	10	6	5	17	38	12	29	37	20	59	74	62	19	13
CXCL7137	4	11	3	3	8	3	4	1	2	6	31	16	18	8	18	16	22	5	0	21
HLA38587	6	3	23	13	19	31	12	32	6	1	126	33	85	38	63	59	92	52	30	18
GPR24741	3	9	5	0	1	2	2	2	8	17	61	117	36	28	50	9	22	19	23	6
IL59234	1	9	5	9	0	9	0	8	0	2	28	13	3	1	19	17	8	8	10	6
MT66108	3	6	14	14	5	12	5	19	14	8	93	58	2	45	33	94	64	27	118	34
ZNF16140	41	47	82	30	53	43	10	18	45	79	114	418	46	92	228	187	79	409	106	186
CD46825	3	1	8	1	1	3	7	4	4	6	4	7	20	6	9	22	16	8	26	14
TNF45629	4	24	61	30	35	77	67	72	8	67	113	259	157	103	349	152	298	183	767	113
MYC35437	68	27	36	78	49	107	30	12	48	37	142	64	287	359	134	52	174	110	187	121
KRT36951	4	4	6	1	1	6	1	3	5	3	18	20	34	14	32	27	9	9	3	10
HLA6915	19	40	31	6	91	35	24	83	78	66	453	290	251	134	469	354	156	154	318	137
CXCL74574	2	6	0	5	2	2	10	2	9	0	14	34	13	12	14	2	4	24	15	11
HLA60389	27	25	3	4	8	12	14	18	15	4	296	97	103	286	38	48	55	41	80	101
TP59766	3	26	7	2	35	25	25	10	23	3	127	27	44	53	35	16	64	22	24	4
MYC12866	0	0	4	0	3	7	1	1	4	4	13	8	22	7	16	12	3	4	23	17
MT57925	9	23	18	13	5	12	16	17	8	19	40	54	19	44	83	71	102	47	14	74
TP97309	49	24	38	44	2	25	15	9	21	19	142	135	318	95	71	97	124	84	101	213
IL94980	1	1	1	2	0	2	0	5	9	3	7	13	9	14	12	14	8	8	14	17
KRT51603	28	15	17	28	9	21	31	8	32	20	71	32	87	56	132	99	32	44	107	54
SLC49300	6	11	5	19	25	12	3	6	10	4	6	56	65	5	43	35	5	49	26	39
ZNF45973	5	5	8	5	1	7	6	2	5	6	37	25	46	29	23	51	49	9	5	9
CD23112	8	1	2	2	1	19	6	11	14	3	41	53	45	64	31	59	47	34	58	29
MT9804	21	26	50	9	34	13	13	32	28	11	105	93	80	69	187	47	113	208	271	66
TNF45449	3	22	6	6	2	13	10	2	5	5	36	24	44	36	20	62	23	9	75	10
HLA69811	43	33	31	6	26	35	54	82	25	24	56	117	298	90	88	260	99	41	102	409
TP27234	30	8	15	13	8	35	51	28	34	6	61	90	125	110	39	144	27	93	96	71
ZNF31989	48	15	33	88	63	97	6	55	28	87	47	252	98	259	48	62	155	77	174	297
MAPK61708	49	12	14	77	70	51	22	93	39	14	79	94	169	74	354	643	232	420	69	474
HLA29499	26	13	33	15	28	20	9	26	2	18	47	27	148	64	133	75	187	210	15	32
TNF926	2	4	4	3	0	1	0	4	0	3	3	11	9	14	5	22	8	8	4	1
CD54925	2	21	2	2	19	26	8	10	37	4	55	60	58	25	54	45	66	90	36	26
TP44936	9	6	9	1	5	5	1	12	0	5	22	21	27	29	10	6	21	6	33	28
KRT52724	16	24	4	26	15	6	6	0	9	1	87	134	53	93	28	27	38	48	27	136
ZNF53834	6	4	7	1	2	1	1	0	1	3	0	4	1	6	12	12	16	15	5	5
SLC69092	3	1	3	5	0	0	2	1	1	3	6	5	23	5	18	5	11	16	3	13
MT37673	71	23	58	11	23	57	62	32	47	69	230	48	133	83	66	71	127	117	210	89
SLC70341	14	13	23	5	6	4	4	4	7	5	73	19	29	53	23	6	64	12	18	18
MT90679	8	1	6	4	11	8	6	3	3	6	16	28	36	43	14	17	39	27	12	55
GPR84133	43	15	19	16	34	17	11	14	24	17	12	95	52	23	43	119	106	125	98	44
CXCL20284	3	1	5	2	6	2	3	6	13	3	20	17	16	19	37	44	30	2	18	26
CD81222	2	4	6	4	7	4	0	0	11	5	13	8	9	20	20	24	2	7	11	5
CXCL60973	6	9	10	5	13	30	5	11	7	32	103	73	35	127	72	38	60	45	33	50
IL36556	175	122	225	147	677	94	59	31	174	146	514	549	630	777	213	706	539	719	621	86
HLA55705	15	6	8	6	16	6	2	6	2	3	56	2	31	23	31	54	28	40	25	35
KRT96301	6	6	14	5	5	12	5	9	5	7	32	7	32	2	17	28	15	9	27	17
CXCL70619	14	7	17	8	7	6	3	3	11	9	36	17	18	49	43	20	11	22	24	26
EGFR60260	3	8	6	10	13	11	3	2	11	11	14	33	61	39	20	25	16	34	4	22
TP51550	50	61	27	9	37	31	21	3	21	20	256	124	61	97	69	72	37	34	68	43
SLC12307	2	1	0	6	1	6	0	1	1	2	15	4	9	6	2	12	6	16	1	7
SLC62653	5	1	5	2	5	1	11	2	6	1	7	6	11	23	24	14	2	4	7	21
MAPK25130	4	2	0	10	5	7	5	5	3	1	5	31	7	18	4	8	28	10	21	14
GPR56855	6	2	5	4	5	7	2	4	12	3	21	17	24	26	23	27	10	15	27	23
SLC95282	42	25	64	19	126	46	10	9	45	108	105	327	189	244	200	39	112	226	241	115
MT9959	26	25	20	24	14	59	16	49	49	20	109	36	18	72	27	16	116	159	124	109
EGFR84164	5	6	17	3	17	3	4	3	7	12	25	114	132	43	47	22	36	74	169	156
TNF15086	2	2	2	4	4	8	1	7	0	3	7	8	4	10	3	10	6	13	2	12
CD90579	13	38	47	21	23	2	20	26	21	16	189	116	81	9	114	133	149	76	90	30
CXCL39586	64	41	162	38	21	47	26	14	128	43	279	81	215	383	163	325	547	197	404	70
MT61476	2	26	11	4	23	7	32	36	1	12	22	36	25	107	59	28	16	120	23	12
TNF52877	32	18	62	10	13	8	20	10	15	9	96	117	156	71	47	105	135	214	42	129
SLC60125	6	44	20	3	20	17	15	24	26	32	47	63	38	83	83	87	124	165	128	81
EGFR30697	28	10	63	67	15	44	25	11	19	17	26	22	56	120	51	296	91	73	122	61
SLC2916	2	1	3	0	3	5	1	2	0	4	10	13	12	29	16	3	2	8	4	6
EGFR60831	19	31	15	20	49	5	17	7	22	14	45	142	48	127	116	140	31	122	143	97
HLA2749	10	5	9	16	16	5	16	4	19	5	28	32	66	38	67	12	48	48	23	14
HLA47629	0	8	1	5	1	4	8	5	5	7	34	8	35	3	12	7	53	16	15	22
SLC9829	33	19	2	10	13	7	16	13	14	4	52	54	27	34	10	94	44	59	9	97
CXCL58470	11	52	11	1	26	32	40	49	57	24	204	102	57	67	43	124	201	48	89	226
HLA51933	104	73	153	24	104	92	97	122	50	52	618	521	181	299	154	86	242	143	314	202
MAPK84837	19	45	12	29	14	14	18	30	36	29	71	40	234	61	45	88	53	120	25	89
EGFR50301	8	1	3	4	3	0	4	4	5	13	37	11	22	20	34	57	41	2	8	36
GPR66671	0	0	0	3	0	1	0	1	2	1	3	0	0	4	3	1	4	0	0	0
TNF13108	9	16	6	4	13	4	4	0	10	5	89	39	28	32	7	28	9	28	21	26
IL97629	10	9	6	16	26	4	4	11	4	1	34	15	68	47	17	20	43	8	128	58
SLC74852	6	2	0	0	2	0	3	6	9	4	7	7	58	22	11	54	8	19	5	16
CD23369	128	86	80	42	34	64	120	25	8	83	197	111	276	52	485	83	335	577	242	464
BRCA67877	13	2	9	19	4	26	10	4	17	6	81	23	8	35	75	87	119	64	14	16
TNF44773	0	5	1	1	1	2	0	0	1	5	23	9	10	13	8	7	15	11	9	8
MT84186	13	18	8	4	7	7	2	9	20	6	11	65	14	79	2	41	21	27	24	33
MT81733	4	9	1	11	3	5	5	2	6	5	26	16	17	19	10	3	49	16	41	14
EGFR78897	1	1	6	3	3	11	6	4	3	2	9	30	18	15	12	7	28	14	5	17
TP68851	51	28	15	22	50	19	7	21	22	22	152	61	34	26	115	86	56	96	167	57
ZNF52105	2	4	3	19	7	3	23	9	4	16	59	35	54	53	30	24	1	4	45	35
IL55416	6	41	27	20	44	57	20	25	40	21	98	313	281	100	172	80	109	36	334	28
TP14814	4	1	2	14	2	0	11	5	4	7	12	37	27	30	20	21	4	3	37	18
BRCA21029	11	36	48	21	30	25	12	39	35	30	88	38	212	91	189	80	81	30	54	117
HLA55720	24	4	30	28	9	25	11	47	7	4	70	103	77	99	200	30	94	171	131	19
TNF9888	30	21	7	42	10	76	60	30	36	14	58	111	86	66	125	132	59	225	38	157
MYC24167	14	7	3	10	6	3	2	5	3	1	2	15	23	5	16	12	6	15	20	20
MT81679	16	0	15	13	19	8	9	7	14	13	21	97	45	54	43	29	36	155	10	55
KRT95808	12	5	7	1	4	3	3	5	9	8	27	22	9	40	28	18	1	7	33	11
SLC52527	7	6	1	2	5	3	2	1	2	6	15	12	4	26	11	13	26	3	33	26
BRCA80364	287	467	295	247	889	179	80	455	387	244	1685	625	307	3066	649	460	383	799	1570	961
CXCL56823	31	16	59	23	50	91	18	27	56	56	183	79	97	220	240	113	282	124	207	140
KRT68154	24	9	23	33	5	8	8	14	33	5	39	27	147	27	160	74	28	12	65	66
MYC85915	43	12	6	17	11	15	23	25	5	41	7	32	34	36	52	25	57	40	24	19
IL97	5	18	23	4	8	15	9	1	8	12	73	13	28	50	22	177	133	26	84	79
IL7645	16	16	6	55	16	12	15	36	7	69	66	135	196	89	20	277	66	31	266	103
HLA70465	4	3	7	3	2	1	8	10	4	4	7	20	11	4	7	1	19	20	31	11
IL83098	41	1	41	14	13	55	3	39	6	27	45	146	70	99	46	115	80	142	20	79
HLA4426	15	20	22	28	7	49	4	37	27	20	17	98	47	116	51	46	150	114	138	101
MT62094	1	4	3	0	2	0	5	3	0	1	23	5	14	7	13	4	10	2	12	16
CD54084	5	0	11	7	2	0	6	5	2	1	26	36	30	15	57	2	44	5	10	24
GPR39697	32	41	8	33	6	7	2	14	26	25	87	33	21	108	14	54	85	44	24	85
TNF9351	0	1	3	1	1	5	5	7	4	0	13	21	5	17	3	4	24	4	8	3
HLA13793	33	24	21	43	93	93	31	59	32	96	436	212	278	347	298	265	588	339	260	30
GPR71706	18	6	9	15	2	7	7	14	9	32	39	57	24	47	142	59	90	45	160	128
CXCL56768	2	2	0	2	2	1	0	0	1	7	5	19	2	1	12	13	6	11	5	14
MYC66920	10	39	9	17	9	18	25	17	20	28	19	59	28	57	22	24	45	56	58	36
HLA97480	92	78	42	65	59	37	23	113	31	35	33	185	125	423	49	289	143	208	373	305
MT42462	7	15	0	6	3	5	4	6	2	8	31	18	29	32	32	64	7	7	45	22
HLA50342	3	6	5	8	7	18	3	16	9	6	55	67	15	60	21	18	48	6	33	48
HLA9993	6	12	6	7	1	2	6	3	14	10	70	35	38	8	59	52	23	123	21	23
IL69865	22	17	12	20	29	50	16	22	30	19	75	34	77	10	181	81	150	64	30	82
GPR25750	13	26	4	11	3	23	1	15	18	6	16	71	36	25	116	30	53	43	93	52
BRCA24609	1	8	0	1	1	5	0	0	1	1	6	3	12	6	0	4	6	11	27	2
TNF56982	10	2	8	5	7	2	6	8	5	3	69	9	11	11	34	19	5	3	15	16
TNF62453	9	4	6	4	2	6	2	7	4	11	12	41	12	17	12	23	51	33	31	5
SLC11493	37	15	35	47	8	17	24	52	23	36	162	109	14	104	74	55	72	87	60	65
HLA89500	40	39	37	40	6	17	5	20	24	7	41	66	107	67	62	52	122	136	138	35
GPR56714	5	1	9	6	7	15	13	6	6	12	25	20	18	10	11	28	20	14	33	33
MYC94636	23	6	8	3	5	3	10	19	7	7	18	7	28	25	24	115	79	52	18	11
EGFR36000	30	94	40	28	65	16	21	7	9	126	121	233	562	43	229	213	291	115	592	299
MT87163	3	1	4	3	0	6	5	7	18	7	14	15	7	12	8	17	7	2	19	26
MYC9224	36	26	38	6	15	6	18	8	15	7	99	57	14	53	32	122	30	241	53	63
CD45633	7	10	34	17	17	9	7	67	25	22	42	70	114	92	36	46	111	75	124	30
KRT92846	9	7	4	3	1	31	4	3	20	6	27	149	15	107	50	14	98	81	52	22
BRCA5041	1	3	1	1	1	1	4	6	2	1	16	22	15	7	6	10	12	13	1	10
ZNF37240	38	100	50	76	26	34	14	35	56	41	57	45	142	127	163	349	165	17	123	108
GPR35303	1	5	3	4	8	2	3	1	8	4	40	18	11	6	3	8	17	37	33	14
MAPK7069	49	72	35	6	26	60	30	21	31	60	117	52	47	43	139	9	36	184	57	99
BRCA67871	4	1	1	1	2	3	2	1	5	1	16	3	0	5	2	6	6	17	8	11
MYC25729	2	15	6	10	11	10	2	3	0	9	3	30	37	58	43	14	26	9	10	36
TNF15785	6	1	5	0	2	0	5	1	5	8	12	42	35	22	9	16	16	5	5	9
MYC39692	12	12	1	2	7	4	6	0	9	0	65	36	16	24	20	12	24	10	24	73
TNF71342	14	32	32	43	23	8	29	69	10	25	60	116	281	37	72	76	167	272	141	114
CD53707	6	17	2	5	2	7	5	11	3	3	54	28	49	16	39	20	6	39	14	7
IL98898	3	11	0	12	1	0	0	3	8	3	12	18	12	27	10	8	16	19	21	8
GPR57715	2	4	4	10	4	1	3	6	2	1	31	10	5	3	18	17	10	11	5	24
CXCL46729	37	13	37	67	26	35	11	44	62	48	159	50	89	121	175	485	21	54	110	209
EGFR54514	49	27	23	21	48	26	45	21	34	39	216	18	65	96	48	122	164	104	240	68
MYC34818	24	10	44	25	26	12	13	47	24	17	22	13	24	133	31	79	24	47	61	171
ZNF64111	11	4	12	29	31	24	15	9	8	8	27	74	63	219	13	48	24	38	102	96
GPR33927	10	2	5	2	14	9	3	10	1	11	54	27	16	16	32	15	38	10	51	34
MYC7518	15	83	20	50	42	127	36	36	16	173	240	183	199	417	204	130	190	375	217	288
MAPK86112	9	2	14	18	7	1	5	8	11	6	12	9	16	24	5	45	55	31	41	3
IL218	42	101	83	58	48	26	82	121	42	23	277	302	270	108	146	161	62	222	102	329
KRT36258	8	16	9	19	7	12	15	12	37	3	38	130	79	145	70	109	28	92	118	47
SLC79851	6	1	4	0	0	0	0	8	1	3	4	1	6	27	4	3	18	7	7	2
MAPK53332	3	1	6	6	11	8	3	8	7	6	10	8	38	13	42	46	20	19	38	56
CXCL84680	5	1	6	11	1	1	8	3	2	5	11	16	34	11	13	12	10	34	24	48
EGFR32903	17	54	14	22	13	38	9	6	18	13	15	13	37	14	19	32	19	4	24	2
TNF41302	26	6	10	7	12	6	20	1	22	14	17	10	9	7	12	10	3	5	13	14
HLA25936	25	11	1	21	9	21	7	18	9	13	23	16	3	56	9	14	13	9	10	18
MAPK92708	3	6	13	7	2	7	6	5	0	2	3	7	5	10	5	8	7	8	7	1
HLA11089	3	2	1	8	5	2	7	1	5	1	1	2	4	3	10	3	0	7	4	0
CD7470	1	7	2	8	0	1	8	7	20	2	3	1	1	2	3	0	12	1	3	6
KRT13643	22	9	18	25	63	6	5	11	16	14	6	5	19	13	12	14	6	13	5	1
IL58757	29	4	17	6	5	7	1	6	5	2	11	0	5	3	4	3	10	16	7	2
MYC37236	14	9	3	5	20	21	4	14	5	27	5	6	7	15	16	15	7	17	13	5
MT58411	4	2	7	20	15	9	29	14	13	16	6	6	13	23	10	2	3	3	6	3
SLC5298	45	79	71	64	59	26	36	33	54	102	27	70	45	29	20	79	101	14	78	77
SLC69055	5	12	3	10	4	14	7	9	8	3	17	4	4	5	1	9	22	12	5	18
TNF30092	200	80	73	80	77	167	443	91	26	226	288	128	61	50	35	102	206	122	245	181
MT76329	4	3	3	1	2	1	1	2	1	2	0	0	2	2	5	1	0	7	1	1
HLA2282	9	1	8	9	2	18	17	4	16	35	24	12	10	4	10	10	1	5	11	9
CD16733	12	14	8	6	15	6	5	9	11	2	31	4	6	10	7	6	22	15	0	15
CD76618	4	3	2	0	0	1	0	0	1	0	0	2	0	1	0	0	2	1	1	0
CXCL11671	12	14	14	21	10	26	8	12	23	28	26	29	21	37	10	14	6	10	40	19
TNF26856	90	144	96	16	36	16	21	92	98	56	81	32	57	78	17	43	105	76	20	66
SLC93413	21	28	29	17	9	7	48	47	0	3	10	19	12	10	12	2	16	6	2	17
SLC96674	19	53	20	23	8	29	1	9	18	20	31	11	39	13	19	16	7	54	18	3
GPR3122	15	19	9	6	14	6	12	12	29	18	26	21	8	26	14	14	7	23	31	7
SLC55161	3	4	10	2	6	7	4	2	2	0	10	11	1	13	3	0	1	4	2	1
EGFR6683	21	52	32	24	27	2	20	29	16	12	40	16	7	24	15	5	4	34	14	16
MAPK53436	16	26	33	45	11	29	47	32	14	49	37	19	22	15	36	23	30	21	14	6
GPR45245	33	33	49	5	13	26	25	16	38	17	28	8	17	18	36	17	14	57	4	41
BRCA73662	27	37	20	19	33	31	16	8	5	9	7	15	9	18	8	11	24	12	21	21
MYC58986	10	48	27	4	30	41	1	25	13	10	10	54	19	12	24	49	22	44	26	10
EGFR18461	4	19	6	5	7	12	8	6	18	18	3	24	6	23	4	32	29	5	23	14
TP54610	4	3	0	4	3	1	3	7	5	4	1	3	0	9	3	4	16	1	7	0
ZNF70119	22	33	10	31	29	24	26	16	20	21	1	28	22	15	16	20	21	8	14	4
IL27658	17	40	45	18	86	74	48	17	17	110	26	91	34	49	70	78	77	32	198	112
MAPK56190	15	15	10	16	17	35	74	26	5	18	13	18	31	74	30	5	20	11	35	6
SLC95327	5	19	10	10	3	7	26	23	15	14	37	4	16	8	6	17	13	9	9	20
IL83511	24	24	9	38	3	12	17	12	10	12	29	11	7	21	4	18	8	16	22	19
KRT44279	14	47	23	17	23	33	13	9	30	40	29	40	6	25	6	34	23	19	1	64
EGFR7879	21	23	1	16	42	18	56	13	2	11	12	5	30	26	19	17	16	14	5	11
MYC83376	11	16	13	11	25	10	28	7	35	24	27	51	18	2	24	11	31	57	11	10
MT41142	12	13	17	7	13	15	6	21	18	18	14	11	16	20	7	5	13	26	20	7
TNF34679	1	14	14	14	7	5	3	5	3	17	4	26	3	1	9	2	7	1	9	5
IL41555	9	20	21	2	24	13	5	8	3	8	8	7	3	30	13	10	21	5	2	1
MYC92684	6	9	15	18	6	10	13	16	15	13	9	11	11	6	11	18	6	20	17	19
MYC63689	57	78	13	57	31	41	36	24	95	107	116	114	50	56	88	37	45	175	38	55
BRCA78815	14	20	10	12	13	14	15	9	63	15	21	6	19	9	3	3	17	36	18	17
CD91353	4	5	38	10	7	12	10	20	35	12	23	5	7	2	17	19	19	16	17	29
IL18517	3	3	2	7	1	7	5	8	1	9	7	0	9	2	4	7	3	4	5	6
KRT26636	13	3	1	8	11	4	9	2	12	24	7	6	7	10	7	1	1	18	4	1
MT17521	85	43	193	16	24	54	102	29	16	48	57	55	11	109	40	47	72	49	109	78
MYC18389	3	4	4	1	0	0	0	2	1	1	2	5	3	2	4	7	0	2	6	2
KRT6779	13	7	14	21	20	30	16	7	12	13	21	18	21	17	20	29	7	28	23	22
GPR18546	30	2	53	105	11	42	19	31	48	22	6	28	26	12	33	65	42	12	17	20
MAPK76754	30	42	52	20	3	5	24	15	5	17	9	7	31	11	20	16	24	16	41	26
BRCA57541	40	41	33	34	24	129	26	35	97	35	62	28	32	50	36	28	40	65	31	32
TP9596	5	24	21	27	37	3	25	1	21	54	10	10	24	23	12	14	30	9	23	9
KRT30205	12	6	9	33	26	10	17	37	14	9	29	19	7	2	17	3	14	70	3	31
EGFR7929	17	8	2	2	6	1	8	3	5	2	1	8	1	5	1	4	3	4	0	2
MYC9161	7	20	24	27	8	46	13	36	19	12	23	8	35	5	9	13	9	22	16	37
MYC68718	94	9	70	63	46	71	24	25	45	57	58	20	29	123	73	56	47	65	20	28
MYC75240	17	17	22	11	11	15	20	5	6	14	19	15	13	3	30	4	25	12	7	15
ZNF20607	28	51	9	15	20	12	21	43	40	11	23	16	49	58	8	2	10	17	14	33
CD56509	4	4	5	8	5	9	3	2	5	1	1	2	6	3	3	1	2	3	4	5
CD89307	12	6	17	17	34	7	6	15	16	13	35	20	8	5	2	7	50	3	19	29
ZNF41953	21	0	29	10	16	13	14	15	13	11	21	26	44	18	18	6	23	28	21	3
MYC57228	5	9	15	5	5	2	5	6	0	2	10	11	6	4	2	0	4	3	3	4
EGFR55212	5	7	5	4	1	8	14	1	5	3	4	1	21	4	8	1	6	0	10	3
BRCA10195	29	15	8	0	17	7	20	14	20	18	62	38	29	28	3	48	53	18	5	7
EGFR16066	24	24	25	8	21	19	8	28	6	3	17	39	24	14	37	21	27	9	19	42
MT58502	8	1	2	4	2	1	1	3	4	3	5	4	4	0	1	1	2	2	2	0
SLC9213	9	21	1	18	12	5	5	13	18	0	6	21	44	7	29	21	15	7	6	16
BRCA42640	4	8	2	11	1	13	1	4	23	22	16	11	6	3	7	10	6	9	6	13
TP13537	5	15	1	7	4	7	3	11	5	13	8	2	2	3	1	3	3	4	17	7
MYC20168	9	3	10	8	12	41	3	13	23	0	7	5	22	11	6	9	5	8	5	9
BRCA70027	19	24	47	47	53	10	10	33	4	56	1	19	28	39	15	14	23	40	32	14
BRCA49276	96	88	8	74	26	36	40	45	31	35	29	30	8	11	80	52	57	22	34	29
TP44533	1	11	25	10	8	13	15	5	12	21	2	2	11	9	6	3	5	5	2	1
KRT89	0	0	3	0	3	2	0	1	5	1	2	2	2	1	2	6	6	1	3	3
EGFR70636	11	10	5	0	12	7	7	13	5	5	1	1	5	15	2	6	4	8	5	3
TNF91546	4	5	10	1	3	8	1	13	15	6	11	3	5	6	13	0	2	1	10	13
MAPK30763	39	144	10	85	41	34	26	49	124	110	57	63	19	127	67	31	46	29	67	89
GPR65918	20	8	50	23	24	17	20	15	3	17	6	19	27	20	7	7	5	53	13	8
GPR6795	14	28	11	6	24	10	6	23	15	13	14	37	10	18	5	29	17	30	17	10
CXCL68239	5	14	11	3	13	27	7	8	4	11	10	4	3	1	4	14	9	4	0	5
MT38039	3	5	1	7	4	9	2	8	2	8	2	3	1	2	3	4	1	1	0	9
CXCL55616	13	27	41	68	59	25	31	66	54	29	32	44	25	27	48	16	31	87	41	79
SLC14232	31	34	26	24	18	10	30	16	7	11	27	16	31	17	51	3	8	19	10	27
SLC72968	9	8	4	3	4	9	0	5	2	12	22	5	8	26	6	2	9	4	7	3
EGFR35188	23	19	12	24	92	24	43	48	41	99	52	145	45	47	72	27	81	41	84	33
MYC12383	13	5	2	5	7	0	3	16	3	6	1	3	8	10	7	3	11	5	11	1
MYC5487	110	62	76	51	84	95	74	17	36	52	13	74	83	188	52	143	81	100	278	121
MAPK99785	13	22	19	13	16	8	15	4	10	15	36	3	4	15	16	12	4	5	1	4
ZNF37855	10	7	22	2	4	12	0	41	15	0	6	14	4	16	4	4	23	6	13	1
SLC50382	14	14	16	15	24	24	21	1	17	10	19	8	5	11	14	4	35	2	26	7
TNF36957	12	6	4	12	6	2	1	2	2	2	5	4	5	5	5	1	4	3	6	14
HLA94367	89	64	10	21	10	29	5	8	34	18	46	93	21	74	16	12	39	15	77	45
EGFR72262	14	8	9	14	8	11	41	30	20	25	22	2	11	6	9	8	12	11	29	15
GPR41445	20	63	34	18	15	50	11	30	57	35	19	32	48	46	28	40	9	31	10	1
EGFR48941	14	2	4	2	5	3	8	0	0	2	3	1	3	13	2	3	3	4	5	2
SLC217	31	10	5	10	31	8	2	4	17	12	2	30	31	1	9	16	16	48	11	8
GPR78651	5	10	16	1	2	11	5	9	4	3	4	6	7	8	5	4	4	2	6	11
GPR32534	15	15	14	3	2	5	5	9	23	6	6	16	15	7	31	11	17	22	21	8
SLC31741	3	4	5	3	4	3	0	7	0	1	8	1	0	2	5	3	1	2	1	15
HLA55010	1	3	6	2	11	2	2	10	1	2	1	0	8	5	8	2	3	2	7	3
